Date,Hour,Air Temp (°C)
2025-08-24,0,23.65
2025-08-24,1,23.3
2025-08-24,2,23.25
2025-08-24,3,22.85
2025-08-24,4,22.55
2025-08-24,5,22.6
2025-08-24,6,24.7
2025-08-24,7,29.049999999999997
2025-08-24,8,34.1
2025-08-24,9,34.3
2025-08-24,10,32.35
2025-08-24,11,34.3
2025-08-24,12,35.0
2025-08-24,13,33.7
2025-08-24,14,33.15
2025-08-24,15,32.05
2025-08-24,16,31.4
2025-08-24,17,28.9
2025-08-24,18,27.25
2025-08-24,19,25.9
2025-08-24,20,25.25
2025-08-24,21,24.9
2025-08-24,22,24.450000000000003
2025-08-24,23,24.05
2025-08-28,0,21.15
2025-08-28,1,20.75
2025-08-28,2,20.45
2025-08-28,3,20.15
2025-08-28,4,19.85
2025-08-28,5,19.75
2025-08-28,6,20.8
2025-08-28,7,23.85
2025-08-28,8,27.3
2025-08-28,9,26.950000000000003
2025-08-28,10,26.799999999999997
2025-08-28,11,27.75
2025-08-28,12,27.8
2025-08-28,13,28.6
2025-08-28,14,29.1
2025-08-28,15,28.05
2025-08-28,16,26.95
2025-08-28,17,24.7
2025-08-28,18,22.95
2025-08-28,19,21.9
2025-08-28,20,21.5
2025-08-28,21,21.1
2025-08-28,22,20.6
2025-08-28,23,20.3
2025-09-03,0,24.25
2025-09-03,1,22.45
2025-09-03,2,23.4
2025-09-03,3,23.1
2025-09-03,4,23.299999999999997
2025-09-03,5,23.0
2025-09-03,6,22.85
2025-09-03,7,25.95
2025-09-03,8,26.35
2025-09-03,9,26.35
2025-09-03,10,26.35
2025-09-03,11,28.0
2025-09-03,12,27.25
2025-09-03,13,27.8
2025-09-03,14,27.0
2025-09-03,15,27.4
2025-09-03,16,26.25
2025-09-03,17,24.15
2025-09-03,18,22.2
2025-09-03,19,21.35
2025-09-03,20,20.65
2025-09-03,21,20.049999999999997
2025-09-03,22,19.5
2025-09-03,23,19.1
2025-10-12,0,14.05
2025-10-12,1,14.1
2025-10-12,2,14.3
2025-10-12,3,14.55
2025-10-12,4,15.05
2025-10-12,5,15.25
2025-10-12,6,15.5
2025-10-12,7,15.6
2025-10-12,8,16.1
2025-10-12,9,17.5
2025-10-12,10,18.45
2025-10-12,11,18.75
2025-10-12,12,19.15
2025-10-12,13,19.2
2025-10-12,14,19.2
2025-10-12,15,19.2
2025-10-12,16,19.25
2025-10-12,17,19.85
2025-10-12,18,19.85
2025-10-12,19,19.799999999999997
2025-10-12,20,19.5
2025-10-12,21,18.85
2025-10-12,22,18.1
2025-10-12,23,17.75
2025-10-31,0,4.7
2025-10-31,1,4.8
2025-10-31,2,4.85
2025-10-31,3,4.95
2025-10-31,4,4.85
2025-10-31,5,4.9
2025-10-31,6,4.75
2025-10-31,7,5.65
2025-10-31,8,7.4
2025-10-31,9,8.95
2025-10-31,10,10.65
2025-10-31,11,12.3
2025-10-31,12,13.45
2025-10-31,13,13.8
2025-10-31,14,13.1
2025-10-31,15,12.7
2025-10-31,16,11.85
2025-10-31,17,11.649999999999999
2025-10-31,18,11.350000000000001
2025-10-31,19,11.1
2025-10-31,20,10.85
2025-10-31,21,10.85
2025-10-31,22,11.399999999999999
2025-10-31,23,11.85
2025-11-05,0,4.300000000000001
2025-11-05,1,4.15
2025-11-05,2,4.1
2025-11-05,3,4.0
2025-11-05,4,3.9
2025-11-05,5,3.8
2025-11-05,6,3.7
2025-11-05,7,6.3
2025-11-05,8,10.15
2025-11-05,9,14.399999999999999
2025-11-05,10,17.95
2025-11-05,11,19.0
2025-11-05,12,17.45
2025-11-05,13,16.549999999999997
2025-11-05,14,14.2
2025-11-05,15,12.75
2025-11-05,16,11.95
2025-11-05,17,10.35
2025-11-05,18,9.55
2025-11-05,19,8.8
2025-11-05,20,8.05
2025-11-05,21,7.6
2025-11-05,22,7.65
2025-11-05,23,7.65
2025-11-06,0,7.300000000000001
2025-11-06,1,6.95
2025-11-06,2,6.65
2025-11-06,3,6.2
2025-11-06,4,5.95
2025-11-06,5,5.75
2025-11-06,6,5.550000000000001
2025-11-06,7,7.75
2025-11-06,8,11.4
2025-11-06,9,16.85
2025-11-06,10,16.05
2025-11-06,11,16.549999999999997
2025-11-06,12,17.3
2025-11-06,13,16.4
2025-11-06,14,14.1
2025-11-06,15,13.05
2025-11-06,16,11.8
2025-11-06,17,10.55
2025-11-06,18,9.55
2025-11-06,19,9.45
2025-11-06,20,9.4
2025-11-06,21,9.45
2025-11-06,22,9.2
2025-11-06,23,9.15
